WEEK,start_date,end_date,SEASON
21,19-May-14,25-May-14,2013-14
22,26-May-14,1-Jun-14,2013-14
23,2-Jun-14,8-Jun-14,2013-14
24,9-Jun-14,15-Jun-14,2013-14
25,16-Jun-14,22-Jun-14,2013-14
26,23-Jun-14,29-Jun-14,2013-14
27,30-Jun-14,6-Jul-14,2013-14
28,7-Jul-14,13-Jul-14,2013-14
29,14-Jul-14,20-Jul-14,2013-14
30,21-Jul-14,27-Jul-14,2013-14
31,28-Jul-14,3-Aug-14,2013-14
32,4-Aug-14,10-Aug-14,2013-14
33,11-Aug-14,17-Aug-14,2013-14
34,18-Aug-14,24-Aug-14,2013-14
35,25-Aug-14,31-Aug-14,2013-14
36,1-Sep-14,7-Sep-14,2013-14
37,8-Sep-14,14-Sep-14,2013-14
38,15-Sep-14,21-Sep-14,2013-14
39,22-Sep-14,28-Sep-14,2013-14
40,29-Sep-14,5-Oct-14,2013-14
41,6-Oct-14,12-Oct-14,2013-14
42,13-Oct-14,19-Oct-14,2013-14
43,20-Oct-14,26-Oct-14,2013-14
44,27-Oct-14,2-Nov-14,2013-14
45,3-Nov-14,9-Nov-14,2013-14
46,10-Nov-14,16-Nov-14,2013-14
47,17-Nov-14,23-Nov-14,2013-14
48,24-Nov-14,30-Nov-14,2013-14
49,1-Dec-14,7-Dec-14,2013-14
50,8-Dec-14,14-Dec-14,2013-14
51,15-Dec-14,21-Dec-14,2013-14
52,22-Dec-14,28-Dec-14,2013-14
1,31-Dec-12,6-Jan-13,2012-13
2,7-Jan-13,13-Jan-13,2012-13
3,14-Jan-13,20-Jan-13,2012-13
4,21-Jan-13,27-Jan-13,2012-13
5,28-Jan-13,3-Feb-13,2012-13
6,4-Feb-13,10-Feb-13,2012-13
7,11-Feb-13,17-Feb-13,2012-13
8,18-Feb-13,24-Feb-13,2012-13
9,25-Feb-13,3-Mar-13,2012-13
10,4-Mar-13,10-Mar-13,2012-13
11,11-Mar-13,17-Mar-13,2012-13
12,18-Mar-13,24-Mar-13,2012-13
13,25-Mar-13,31-Mar-13,2012-13
14,1-Apr-13,7-Apr-13,2012-13
15,8-Apr-13,14-Apr-13,2012-13
16,15-Apr-13,21-Apr-13,2012-13
17,22-Apr-13,28-Apr-13,2012-13
18,29-Apr-13,5-May-13,2012-13
19,6-May-13,12-May-13,2012-13
20,13-May-13,19-May-13,2012-13
21,20-May-13,26-May-13,2012-13
22,27-May-13,2-Jun-13,2012-13
23,3-Jun-13,9-Jun-13,2012-13
24,10-Jun-13,16-Jun-13,2012-13
25,17-Jun-13,23-Jun-13,2012-13
26,24-Jun-13,30-Jun-13,2012-13
27,1-Jul-13,7-Jul-13,2012-13
28,8-Jul-13,14-Jul-13,2012-13
29,15-Jul-13,21-Jul-13,2012-13
30,22-Jul-13,28-Jul-13,2012-13
31,29-Jul-13,4-Aug-13,2012-13
32,5-Aug-13,11-Aug-13,2012-13
33,12-Aug-13,18-Aug-13,2012-13
34,19-Aug-13,25-Aug-13,2012-13
35,26-Aug-13,1-Sep-13,2012-13
36,2-Sep-13,8-Sep-13,2012-13
37,9-Sep-13,15-Sep-13,2012-13
38,16-Sep-13,22-Sep-13,2012-13
39,23-Sep-13,29-Sep-13,2012-13
40,30-Sep-13,6-Oct-13,2012-13
41,7-Oct-13,13-Oct-13,2012-13
42,14-Oct-13,20-Oct-13,2012-13
43,21-Oct-13,27-Oct-13,2012-13
44,28-Oct-13,3-Nov-13,2012-13
