region_type,region,year,week,total_specimens,total_a,total_b,percent_positive,percent_a,percent_b,wk_date
HHS Regions,Region 1,2016,8,1726,260,26,16.5701,15.0637,1.50637,2016-02-21
HHS Regions,Region 2,2016,8,3145,626,64,21.9396,19.9046,2.03498,2016-02-21
HHS Regions,Region 3,2016,8,1824,201,28,12.5548,11.0197,1.53509,2016-02-21
HHS Regions,Region 4,2016,8,5763,979,203,20.5102,16.9877,3.52247,2016-02-21
HHS Regions,Region 5,2016,8,6193,1094,119,19.5866,17.6651,1.92152,2016-02-21
HHS Regions,Region 6,2016,8,4162,412,261,16.1701,9.89909,6.27102,2016-02-21
HHS Regions,Region 7,2016,8,1239,89,8,7.82889,7.18321,0.645682,2016-02-21
HHS Regions,Region 8,2016,8,2620,262,154,15.8779,10,5.87786,2016-02-21
HHS Regions,Region 9,2016,8,3051,388,285,22.0583,12.7171,9.3412,2016-02-21
HHS Regions,Region 10,2016,8,1243,99,128,18.2623,7.9646,10.2977,2016-02-21
HHS Regions,Region 1,2016,9,1997,332,69,20.0801,16.6249,3.45518,2016-02-28
HHS Regions,Region 2,2016,9,3633,906,103,27.7732,24.9381,2.83512,2016-02-28
HHS Regions,Region 3,2016,9,2086,271,48,15.2924,12.9914,2.30105,2016-02-28
HHS Regions,Region 4,2016,9,6207,1036,243,20.6058,16.6908,3.91493,2016-02-28
HHS Regions,Region 5,2016,9,7061,1474,171,23.297,20.8752,2.42175,2016-02-28
HHS Regions,Region 6,2016,9,4443,496,359,19.2438,11.1636,8.08013,2016-02-28
HHS Regions,Region 7,2016,9,1234,113,21,10.859,9.15721,1.70178,2016-02-28
HHS Regions,Region 8,2016,9,2936,388,200,20.0272,13.2153,6.81199,2016-02-28
HHS Regions,Region 9,2016,9,2945,351,277,21.3243,11.9185,9.40577,2016-02-28
HHS Regions,Region 10,2016,9,1338,156,138,21.9731,11.6592,10.3139,2016-02-28
HHS Regions,Region 1,2016,10,2480,565,102,26.8952,22.7823,4.1129,2016-03-06
HHS Regions,Region 2,2016,10,4153,1055,197,30.1469,25.4033,4.7435600000000004,2016-03-06
HHS Regions,Region 3,2016,10,2548,534,132,26.1381,20.9576,5.18053,2016-03-06
HHS Regions,Region 4,2016,10,6765,1144,346,22.0251,16.9106,5.11456,2016-03-06
HHS Regions,Region 5,2016,10,8165,1835,259,25.6461,22.474,3.17208,2016-03-06
